,Ranking,Country
0,1,"Congo, Dem. Rep."
1,2,Burundi
2,3,Liberia
3,4,Niger
4,5,Central African Republic
5,6,Mozambique
6,7,Malawi
7,8,Sierra Leone
8,9,Togo
9,10,Madagascar
10,11,Guinea
11,12,Eritrea
12,13,Rwanda
13,14,Guinea-Bissau
14,15,Burkina Faso
15,16,Uganda
16,17,Haiti
17,18,Afghanistan
18,19,Comoros
19,20,Gambia
20,21,Benin
21,22,Mali
22,23,Nepal
23,24,Tanzania
24,25,Chad
25,26,Tajikistan
26,27,Solomon Islands
27,28,Senegal
28,29,Kiribati
29,30,Bangladesh
30,31,Cambodia
31,32,Kenya
32,33,Lesotho
33,34,Kyrgyz Republic
34,35,Cote d'Ivoire
35,36,Cameroon
36,37,Ghana
37,38,Mauritania
38,39,Myanmar
39,40,Zambia
40,41,Sudan
41,42,Lao
42,43,Timor-Leste
43,44,Pakistan
44,45,Moldova
45,46,Uzbekistan
46,47,India
47,48,Yemen
48,49,Vietnam
49,50,Vanuatu
50,51,"Micronesia, Fed. Sts."
51,52,Bolivia
52,53,Nigeria
53,54,Philippines
54,55,"Congo, Rep."
55,56,Tonga
56,57,Bhutan
57,58,Samoa
58,59,Guyana
59,60,Cape Verde
60,61,Morocco
61,62,Angola
62,63,Guatemala
63,64,Georgia
64,65,Armenia
65,66,El Salvador
66,67,Mongolia
67,68,Paraguay
68,69,Ukraine
69,70,Fiji
70,71,Sri Lanka
71,72,Indonesia
72,73,Belize
73,74,Egypt
74,75,Jamaica
75,76,Jordan
76,77,Namibia
77,78,Ecuador
78,79,Albania
79,80,China
80,81,Bosnia and Herzegovina
81,82,Turkmenistan
82,83,Tunisia
83,84,Peru
84,85,"Macedonia, FYR"
85,86,St. Vincent and the Grenadines
86,87,Dominican Republic
87,88,Colombia
88,89,Iraq
89,90,Algeria
90,91,Maldives
91,92,Serbia
92,93,Grenada
93,94,Thailand
94,95,South Africa
95,96,Botswana
96,97,Montenegro
97,98,Costa Rica
98,99,Azerbaijan
99,100,Bulgaria
100,101,Belarus
101,102,Suriname
102,103,Panama
103,104,Mauritius
104,105,Iran
105,106,Gabon
106,107,Lebanon
107,108,Brazil
108,109,Romania
109,110,Turkey
110,111,Uruguay
111,112,Argentina
112,113,Kazakhstan
113,114,Latvia
114,115,Venezuela
115,116,Malaysia
116,117,Barbados
117,118,Seychelles
118,119,Antigua and Barbuda
119,120,Chile
120,121,Lithuania
121,122,Croatia
122,123,Russia
123,124,Poland
124,125,Hungary
125,126,Estonia
126,127,Slovak Republic
127,128,Libya
128,129,Czech Republic
129,130,Malta
130,131,Portugal
131,132,Bahamas
132,133,Equatorial Guinea
133,134,Slovenia
134,135,South Korea
135,136,Greece
136,137,Israel
137,138,Bahrain
138,139,Spain
139,140,Cyprus
140,141,Oman
141,142,Saudi Arabia
142,143,New Zealand
143,144,Italy
144,145,United Kingdom
145,146,France
146,147,Japan
147,148,Iceland
148,149,Germany
149,150,Belgium
150,151,Finland
151,152,Canada
152,153,Austria
153,154,Australia
154,155,United Arab Emirates
155,156,Ireland
156,157,Sweden
157,158,Netherlands
158,159,United States
159,160,Denmark
160,161,Kuwait
161,162,Brunei
162,163,Singapore
163,164,Switzerland
164,165,Norway
165,166,Luxembourg
166,167,Qatar
